microcolony,cohort,colony,num-bees-end,hp-store-type,hp-size,hp-storage-order,hp-storage,total-store,1-hp-hat-halo,area-hp1,area-hp2,area-hp3,area-hp4,area-hp5,area-hp-sum,area-brood1,area-brood2,area-brood3,area-brood4,area-brood5,area-brood-sum,area-0.75-hp,area-0.5-hp,area-0.25-hp,ITD-bee1,ITD-bee2,ITD-bee3,ITD-avg
S4,2,S,3,0.75,,2,1,4,1,,,,,,0,26.041,26.146,,,,52.187,,47.942,55.168,4.2,3.9,3.99,4.03
S4,2,S,3,0.5,47.942,2,1,4,1,,,,,,0,26.041,26.146,,,,52.187,,47.942,55.168,4.2,3.9,3.99,4.03
S4,2,S,3,0.25,55.168,4,1,4,1,,,,,,0,26.041,26.146,,,,52.187,,47.942,55.168,4.2,3.9,3.99,4.03
S5,2,S,3,1,,1,1,3,1,51.975,38.616,,,,90.591,264.442,,,,,264.442,,,54.663,3.56,4.16,3.97,3.896666667
S5,2,S,3,0.75,,,0,3,1,51.975,38.616,,,,90.591,264.442,,,,,264.442,,,54.663,3.56,4.16,3.97,3.896666667
S5,2,S,3,0.5,,1,1,3,1,51.975,38.616,,,,90.591,264.442,,,,,264.442,,,54.663,3.56,4.16,3.97,3.896666667
S5,2,S,3,0.25,54.663,3,1,3,1,51.975,38.616,,,,90.591,264.442,,,,,264.442,,,54.663,3.56,4.16,3.97,3.896666667
S6,2,S,3,1,,1,1,1,1,105.793,,,,,105.793,505.562,,,,,505.562,,,,4.25,4.47,4.31,4.343333333
S6,2,S,3,0.75,,,0,1,1,105.793,,,,,105.793,505.562,,,,,505.562,,,,4.25,4.47,4.31,4.343333333
S6,2,S,3,0.5,,,0,1,1,105.793,,,,,105.793,505.562,,,,,505.562,,,,4.25,4.47,4.31,4.343333333
S6,2,S,3,0.25,,,0,1,1,105.793,,,,,105.793,505.562,,,,,505.562,,,,4.25,4.47,4.31,4.343333333
