microcolony,label,colony,incomplete,model,start_date,end_date,bees_at_end,nectar_incomplete_ever,nectar_incomplete_at_end,pb_status,handmade_hp_max,handmade_hp_end,order_honeypot,order_1hp,order_incomplete,1hp_storage,1hp_hat,area_brood,area_honeypot
077,3.F6,F,0.75,N,23-06-23,14-07-23,3,0,0,D,2,2,1,NA,NA,NA,NA,144.27,170.4
078,3.F8,F,0.75,N,23-06-23,14-07-23,3,0,0,P,2,0,1,NA,NA,NA,NA,167.46,0
081,3.F11,F,0.75,N,23-06-23,14-07-23,3,1,1,P,2,2,1,NA,2,NA,NA,133.78,135.45
086,3.K4,K,0.75,N,23-10-23,13-11-23,2,0,0,I,2,2,1,NA,NA,NA,NA,214.888,70.107
088,3.K6,K,0.75,N,23-10-23,13-11-23,3,0,0,P,2,2,1,NA,NA,NA,NA,135.84,148.05
093,3.Z3,Z,0.75,N,31-03-23,2023_04_21,3,0,0,I,2,1,1,NA,NA,NA,NA,329.34,116.06
096,3.Z6,Z,0.75,N,31-03-23,2023_04_21,3,0,0,I,2,1,1,NA,NA,NA,NA,249.79,170.31
102,4.E5,E,0.75,Y,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,0,0,117.87,80.67
103,4.E6,E,0.75,Y,23-06-23,21-07-23,3,0,0,I,2,2,1,NA,NA,0,0,169.98,100.37
104,4.E7,E,0.75,Y,23-06-23,21-07-23,3,0,0,I,2,2,2,1,NA,1,1,135.12,121.84
107,4.E10,E,0.75,Y,23-06-23,21-07-23,3,0,0,I,2,2,1,2,NA,1,1,171.26,95.29
110,4.F3,F,0.75,Y,15-05-23,05-06-23,3,1,1,P,2,2,1,3,2,1,1,376.32,310.14
116,4.K1,K,0.75,Y,23-10-23,13-11-23,2,0,0,I,2,2,1,1,NA,1,1,97.688,130.087
117,4.K2,K,0.75,Y,23-10-23,13-11-23,2,0,0,I,2,2,1,NA,NA,0,0,67.344,175.274
123,4.Z2,Z,0.75,Y,31-03-23,2023_04_21,3,0,0,I,2,2,2,1,NA,1,1,117.52,143.93
124,4.Z3,Z,0.75,Y,31-03-23,2023_04_21,3,0,0,P,2,2,1,2,NA,1,1,385.54,119.58
130,4.Z9,Z,0.75,Y,31-03-23,2023_04_21,2,0,0,I,2,2,1,1,NA,1,1,137,195.82
002,1.E3,E,0.5,N,17-05-23,07-06-23,3,0,0,I,3,3,1,NA,NA,NA,NA,113.74,211.74
029,1.Z6,Z,0.5,N,31-03-23,2023_04_21,3,0,0,I,3,3,1,NA,NA,NA,NA,458.41,209.65
040,2.E10,E,0.5,Y,23-06-23,21-07-23,3,0,0,I,3,2,2,1,NA,1,1,96.46,98.73
044,2.F7,F,0.5,Y,23-06-23,14-07-23,3,1,1,I,3,3,2,2,1,1,1,219.08,114.6
050,2.Z3,Z,0.5,Y,31-03-23,2023_04_21,3,1,1,I,3,3,1,1,3,1,1,172.73,203.37
062,3.E3,E,0.75,N,26-05-23,16-06-23,3,0,0,I,3,3,1,NA,NA,NA,NA,210.13,231.59
065,3.E6,E,0.75,N,23-06-23,21-07-23,3,0,0,I,3,3,1,NA,NA,NA,NA,137.82,219.64
068,3.E9,E,0.75,N,23-06-23,21-07-23,3,0,0,I,3,2,1,NA,NA,NA,NA,131.53,175.13
073,3.F2,F,0.75,N,15-05-23,05-06-23,3,0,0,D,3,1,1,NA,NA,NA,NA,474.57,183.31
087,3.K5,K,0.75,N,23-10-23,13-11-23,2,0,0,I,3,3,1,NA,NA,NA,NA,81.46,262.405
089,3.K7,K,0.75,N,23-10-23,13-11-23,2,0,0,P,3,1,1,NA,NA,NA,NA,110.67,112.19
090,3.K8,K,0.75,N,23-10-23,13-11-23,3,1,1,P,3,2,1,NA,2,NA,NA,140.96,225.07
095,3.Z5,Z,0.75,N,31-03-23,2023_04_21,3,0,0,P,3,3,1,NA,NA,NA,NA,112.71,168.07
097,3.Z7,Z,0.75,N,31-03-23,2023_04_21,3,0,0,I,3,3,1,NA,NA,NA,NA,554.82,244.78
108,4.F1,F,0.75,Y,03-05-23,24-05-23,3,1,1,P,3,3,1,3,2,1,1,278.28,115.59
132,4.Z11,Z,0.75,Y,31-03-23,2023_04_21,3,0,0,I,3,3,1,1,NA,1,1,437,80.97
133,4.Z12,Z,0.75,Y,31-03-23,2023_04_21,3,0,0,D,3,3,2,1,NA,1,1,192.816,303.2
001,1.E2,E,0.5,N,17-05-23,07-06-23,3,0,0,I,4,4,1,NA,NA,NA,NA,201.07,312.6
008,1.E9,E,0.5,N,23-06-23,21-07-23,3,0,0,I,4,4,1,NA,NA,NA,NA,99.98,188.97
019,1.F8,F,0.5,N,23-06-23,14-07-23,3,0,0,I,4,4,1,NA,NA,NA,NA,171.06,261.19
064,3.E5,E,0.75,N,23-06-23,21-07-23,3,0,0,I,4,3,1,NA,NA,NA,NA,132.21,143.25
083,3.K1,K,0.75,N,23-10-23,13-11-23,2,0,0,I,4,4,1,NA,NA,NA,NA,130.56,285.14
085,3.K3,K,0.75,N,23-10-23,13-11-23,2,1,0,I,4,4,1,NA,2,NA,NA,159.11,260.97
119,4.K5,K,0.75,Y,23-10-23,13-11-23,3,1,0,I,4,3,1,3,2,1,1,221.3,276.43
120,4.K6,K,0.75,Y,23-10-23,13-11-23,3,1,1,P,4,3,1,2,2,1,1,185.992,256.554
